2025-03-01T14:28:35.575Z,05oC2UvKDcx0cY2wg9gzKC,Happy For You,Dua Lipa,245680
2025-03-02T15:36:16.900Z,05oC2UvKDcx0cY2wg9gzKC,Happy For You,Dua Lipa,245680
2025-03-02T18:09:04.060Z,45J4avUb9Ni0bnETYaYFVJ,luther (with sza),Kendrick Lamar,177598
2025-03-02T18:13:23.261Z,0OWhKvvsHptt6vnnNUSM9a,Oklahoma Smokeshow,Zach Bryan,211739
2025-03-02T18:17:17.902Z,4KULAymBBJcPRpk1yO4dOG,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,227195
2025-03-02T18:20:09.183Z,2Dct3GykKZ58hpWRFfe2Qd,Heading South,Zach Bryan,171692
2025-03-02T18:22:48.975Z,1SjsVdSXpwm1kTdYEHoPIT,Sun to Me,Zach Bryan,163031
2025-03-02T18:26:39.281Z,5iJKGpnFfvbjZJeAtwXfCj,28,Zach Bryan,233333
2025-03-02T18:29:25.979Z,3xOi0YhDREKRURFHoNaAOQ,Nine Ball,Zach Bryan,169940
2025-03-02T18:33:51.774Z,5jfhLCSIFUO4ndzNRh4w4G,Burn  Burn  Burn,Zach Bryan,268856
2025-03-02T18:37:27.573Z,3c9EsIo34kil8Oj1reaozB,American Nights,Zach Bryan,218933
2025-03-02T18:40:29.676Z,5hrGuVnNc8tkRgkW38J5Vv,Boons,Zach Bryan,185173
2025-03-02T18:43:08.477Z,2HbpYFQbairMoU2YFyOP2x,Motorcycle Drive By,Zach Bryan,161799
2025-03-02T18:45:17.450Z,3yDi4w5cuQQEpQXrozMW2B,Blue Jean Baby,Zach Bryan,132068
