2025-11-01T02:07:21.114Z,46haIwbQpVUkpAQj9V84Gp,Next to Me,RÜFÜS DU SOL,314389
2025-11-01T05:19:23.594Z,5t9lk6GdHPmlNNYxdfEWHc,Lucky Numbers,Generationals,277800
2025-11-01T05:24:37.593Z,4GYCsLeXkglMk2S4ww1pQv,Been Here Before,The Undercover Dream Lovers,126373
2025-11-01T05:29:31.521Z,5cJnkYD1hbT7W3Icefx0Kq,Beyond the Infinite,Brothertiger,296936
2025-11-01T05:33:14.437Z,6kIA5pn4Cp1rSEc4Pqduvb,Breathless,Small Black,226280
2025-11-01T05:37:31.137Z,7iB3YfswDYfzWeXBv0MRux,Entrance,Vacationer,259560
2025-11-01T05:42:02.559Z,6NwXMGXpxTnCTqw6Y1KP3A,The Beat Comes,Snowden,274613
2025-11-01T05:46:05.586Z,7c9qPLximN9mS72hii7pwG,It All Feels Right,Washed Out,245880
2025-11-01T05:50:09.389Z,6cyd7jJQSKqY2Hc3yXOGUf,Catahoula Man,Generationals,246767
2025-11-01T05:55:08.145Z,3010ztZe0e0HoadKXAxW9n,Boys Life,Small Black,302120
2025-11-01T05:58:49.862Z,1M8HqdQbTxkUn1NaY6329V,Put a Light On,Generationals,224933
2025-11-01T06:03:41.856Z,1ic0QQ4np0KENVdzkzirJA,Moon,Blood Cultures,295000
2025-11-01T06:06:27.294Z,230SHXjjyWkT7Zorx6hsiy,New Theory,Washed Out,168680
2025-11-01T06:09:04.050Z,5gYM8191BsTQeYiLgQffBH,Youthless,Millionyoung,160000
2025-11-01T06:13:35.013Z,1saiatbdGSdjCJ5X4TrnJz,Okay,Holy Ghost!,273800
2025-11-01T06:16:50.270Z,59lGdoQoxIpdHFItHX39fi,All The Same,Future Generations,198383
2025-11-01T06:20:46.281Z,5SHQrtKT1jddKhh8HuGRx8,Red Wine,Grapetooth,239093
2025-11-01T06:24:06.876Z,7BCQl3Aox1GjzWjBlBGnxc,Underneath the Moon,Gardens & Villa,203902
2025-11-01T06:28:06.752Z,3XBe0m5PQGQ3F7oXsWi5Lw,Glorious Warrior,Electric Guest,242760
2025-11-01T06:32:22.794Z,262q2n3ijmUmxV6WgJnU5C,Our Park By Night,Craft Spells,259200
2025-11-01T06:36:25.004Z,1vmSzaXWjF4MR1VgfdqZXh,Domino,Gardens & Villa,245120
2025-11-01T06:41:16.635Z,6xbnvwcf9IzB8gow3DwYes,Indian Summer,Blood Cultures,295000
2025-11-01T06:45:50.260Z,5lhS7yGf1upJkrhzUSKHpA,Good Luck,The Undercover Dream Lovers,276819
2025-11-01T06:49:58.112Z,6zkUA9gcgPJHaGQcSQBVC6,Colours in the Sky (feat Cleopold),Miami Horror,250947
2025-11-01T06:53:38.647Z,3l8MLr9ihD4WxK9DPKcOwW,Bound To Lose,Electric Guest,223613
2025-11-01T06:57:31.699Z,1SkkGu4B1ZKRDya9CJnvkF,Satellite,STRFKR,236280
2025-11-01T07:00:17.122Z,6gtemzVF03I5nAi8yBZ76v,My Omen,Electric Guest,166200
2025-11-01T07:04:00.022Z,2blOXai13SQaV5X0jqg4Ff,Summer Time,Gateway Drugs,227755
2025-11-01T07:07:34.716Z,36uC7W2xvboUmH8D5JEKHb,Photojournalist,Small Black,217853
2025-11-01T07:11:11.946Z,3QeEHHo6807CQBKLXkva5p,Party Talk,Craft Spells,220639
2025-11-01T07:14:50.612Z,6d7tGFy2Ndu0blWIVvcbQe,Reflections,Pink Skies,221931
2025-11-01T07:18:52.211Z,0LucKGxWYkj2d0SHdx2WBh,Chloroform,Phoenix,244813
2025-11-01T07:23:32.663Z,77aixVjp7qg1Wy2Ecz9vSz,Grapefruit,Yuno,283206
2025-11-01T07:26:23.185Z,62F7kzym6ELiDCftrwnrOf,In Green (feat. Sarah Quintana),Generationals,173746
2025-11-01T07:30:17.848Z,6kVxzf6rnMEsTtB9zd72C4,Avery,Generationals,237693
2025-11-01T07:33:28.685Z,7uiNap6KASasjY0lc4huND,Tape Machine,STRFKR,194106
2025-11-01T07:37:24.451Z,33OFgD7lvOyO65LyIHOVHZ,Start. End,Pink Skies,238654
2025-11-01T07:40:59.964Z,58MZCECkYGPvrcU4IGjqPA,License to Drive,Work Drugs,218625
2025-11-01T07:45:01.966Z,42HWf3zyeSdsPvGG6k8WwP,More Like You,Brave Shores,245346
2025-11-01T07:48:43.017Z,3mX7z5Hvw3b9IlPHZ09kEQ,In The End,STRFKR,224106
2025-11-01T07:52:31.726Z,0CzteAUhFWyVe8dmHi9YS0,Sun Was High (So Was I),Small Black,231680
2025-11-01T07:56:31.192Z,0oSuRJjTO7DTA1ltDuQUzM,Deadbeat Summer,Neon Indian,242706
2025-11-01T07:59:31.315Z,2igRi4SLvLCGrL5SGcNhv3,Hammock,Millionyoung,183214
2025-11-01T08:03:24.073Z,2R1rmOArCOXCXTdP0R8W7r,Ancient Water,Future Islands,235853
2025-11-01T08:06:55.585Z,57D1GFMokWCigah5sUtHFU,Malmo,STRFKR,214386
2025-11-01T08:09:21.572Z,2xJ5Z3TpZbu1F42Upfxhy6,Atlantis,STRFKR,149226
2025-11-01T08:14:13.543Z,60LvpTnJoNXPwQIqfhKxgO,Mercury Child,Blood Cultures,295000
2025-11-01T08:18:33.012Z,7oJmIBxEAYjfkS7lhZ7M1S,Sometimes,Goth Babe,262736
